cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
8,307.000,130.000,3504.000,12.000,70,1,18.000
8,350.000,165.000,3693.000,11.500,70,1,15.000
8,318.000,150.000,3436.000,11.000,70,1,18.000
8,304.000,150.000,3433.000,12.000,70,1,16.000
8,302.000,140.000,3449.000,10.500,70,1,17.000
8,429.000,198.000,4341.000,10.000,70,1,15.000
8,454.000,220.000,4354.000,9.000,70,1,14.000
8,440.000,215.000,4312.000,8.500,70,1,14.000
8,455.000,225.000,4425.000,10.000,70,1,14.000
8,390.000,190.000,3850.000,8.500,70,1,15.000
8,383.000,170.000,3563.000,10.000,70,1,15.000
8,340.000,160.000,3609.000,8.000,70,1,14.000
8,400.000,150.000,3761.000,9.500,70,1,15.000
8,455.000,225.000,3086.000,10.000,70,1,14.000
4,113.000,95.000,2372.000,15.000,70,3,24.000
6,198.000,95.000,2833.000,15.500,70,1,22.000
6,199.000,97.000,2774.000,15.500,70,1,18.000
6,200.000,85.000,2587.000,16.000,70,1,21.000
4,97.000,88.000,2130.000,14.500,70,3,27.000
4,97.000,46.000,1835.000,20.500,70,2,26.000
4,110.000,87.000,2672.000,17.500,70,2,25.000
4,107.000,90.000,2430.000,14.500,70,2,24.000
4,104.000,95.000,2375.000,17.500,70,2,25.000
4,121.000,113.000,2234.000,12.500,70,2,26.000
6,199.000,90.000,2648.000,15.000,70,1,21.000
8,360.000,215.000,4615.000,14.000,70,1,10.000
8,307.000,200.000,4376.000,15.000,70,1,10.000
8,318.000,210.000,4382.000,13.500,70,1,11.000
8,304.000,193.000,4732.000,18.500,70,1,9.000
4,97.000,88.000,2130.000,14.500,71,3,27.000
4,140.000,90.000,2264.000,15.500,71,1,28.000
4,113.000,95.000,2228.000,14.000,71,3,25.000
6,232.000,100.000,2634.000,13.000,71,1,19.000
6,225.000,105.000,3439.000,15.500,71,1,16.000
6,250.000,100.000,3329.000,15.500,71,1,17.000
6,250.000,88.000,3302.000,15.500,71,1,19.000
6,232.000,100.000,3288.000,15.500,71,1,18.000
8,350.000,165.000,4209.000,12.000,71,1,14.000
8,400.000,175.000,4464.000,11.500,71,1,14.000
8,351.000,153.000,4154.000,13.500,71,1,14.000
8,318.000,150.000,4096.000,13.000,71,1,14.000
8,383.000,180.000,4955.000,11.500,71,1,12.000
8,400.000,170.000,4746.000,12.000,71,1,13.000
